"";"title";"author";"journal";"number";"cites";"year";"cid";"pubid"
"63";"The Flavonoid Fraction from Rhoeo discolor Leaves Acting as Antiviral Against Influenza A Virus";"Y Sánchez-Roque, G Ayora-Talavera, R Rincón-Rosales, ...";"Records of Natural Products";"11 (6), 532-546";9;2017;"16223274515419139408";"CHSYGLWDkRkC"
"64";"Identification of B6T173 (ZmPrx35) as the prevailing peroxidase in highly insect-resistant maize (Zea mays, p84C3) kernels by activity-directed purification";"LM López-Castillo, JAI López-Arciniega, A Guerrero-Rangel, ...";"Frontiers in plant science";"6 (670), 1-13";9;2015;"12172718415348619594";"pqnbT2bcN3wC"
"65";"Accelerated identification of proteins by mass spectrometry by employing covalent pre-gel staining with Uniblue A";"MA Mata-Gómez, MT Yasui, A Guerrero-Rangel, S Valdés-Rodríguez, ...";"PloS one";"7 (2), e31438";9;2012;"4380109097941042379";"Se3iqnhoufwC"
"66";"Processing Metabolomics and Proteomics Data with Open Software: A Practical Guide";"R Winkler";"Royal Society of Chemistry";"";8;2020;"4529498437870635734";"_Ybze24A_UAC"
"67";"Effects of water availability in the soil on tropane alkaloid production in cultivated Datura stramonium";"A Moreno-Pedraza, J Gabriel, H Treutler, R Winkler, F Vergara";"Metabolites";"9 (7), 131";7;2019;"13853333704280971771";"eq2jaN3J8jMC"
"68";"Metabolomic and Proteomic Analysis of Moringa oleifera L. Cultivated with Vermicompost and Phosphate Rock under Water Stress Conditions";"JM Guzmán-Albores, ML Ramírez-Merchant, EC Interiano-Santos, ...";"International Journal of Agriculuture & Biology";"21 (4), 786-794";7;2019;"1440991061468677397";"_B80troHkn4C"
"69";"Popper and the Omics";"R Winkler";"Frontiers in Plant Science";"7 (195), 1-3";7;2016;"17141955021902528867";"3s1wT3WcHBgC"
"70";"Structural and biochemical basis for the firm chemo-and regioselectivity of the nitro-forming N-oxygenase AurF";"A Fries, R Winkler, C Hertweck";"Chemical Communications";"46 (41), 7760-7762";7;2010;"17644691338616454316";"ULOm3_A8WrAC"
"71";"In vitro UV absorption properties and radical scavenging capacity of Morella parvifolia (Benth.) Parra-Os. extracts";"MA Puertas-Mejía, MI Gutierrez-Villegas, JC Mejía-Giraldo, R Winkler, ...";"Brazilian Journal of Pharmaceutical Sciences";"54 (3), 1-8";6;2018;"5463389173431779280";"bnK-pcrLprsC"
"72";"Lipidomic profiles of Drosophila melanogaster and cactophilic fly species: models of human metabolic diseases";"D Cázarez-García, M Ramírez Loustalot-Laclette, T Ann Markow, ...";"Integrative Biology";"9 (11), 885-891";6;2017;"6669616266565346129";"KxtntwgDAa4C"
"73";"Non-thermal plasma jet device as source of spatial ionization for ambient mass spectrometry and method of application";"SM Jarquín, R Winkler";"US Patent US";"S9362100 B2";6;2016;"651887534191801360";"SeFeTyx0c_EC"
"74";"The emerging role of 3D-printing in ion mobility spectrometry and mass spectrometry";"H Guillén-Alonso, I Rosas-Román, R Winkler";"Analytical Methods";"13 (7), 852-861";5;2021;"6223957195141781139";"VLnqNzywnoUC"
"75";"Metabolomic effects of the colonization of Medicago truncatula by the facultative endophyte Arthrobacter agilis UMCV2 in a foliar inoculation system";"A Ramírez-Ordorica, E Valencia-Cantero, I Flores-Cortez, ...";"Scientific reports";"10 (1), 1-11";5;2020;"14683679554651386064";"ZfRJV9d4-WMC"
"76";"Increase of peroxidase activity in tropical maize after recurrent selection to storage pest resistance";"LM López-Castillo, MFD Flores-Rivera, R Winkler, S García-Lara";"Journal of Stored Products Research";"75, 47-55";5;2018;"2320571405424340716";"SP6oXDckpogC"
"77";"Funaria hygrometrica Hedw. elevated tolerance to D2O: its use for the production of highly deuterated metabolites";"F Vergara, M Itouga, RG Becerra, M Hirai, JJ Ordaz-Ortiz, R Winkler";"Planta";"247 (2), 405-412";4;2018;"13703801869689016107";"UxriW0iASnsC"
"78";"Proteomic analysis and interactions network in leaves of mycorrhizal and nonmycorrhizal sorghum plants under water deficit";"V Olalde-Portugal, JL Cabrera-Ponce, A Gastelum-Arellanez, ...";"PeerJ";"8, e8991";3;2020;"5457799293841986453";"NJ774b8OgUMC"
"79";"Mass Fingerprints of Tomatoes Fertilized with Different Nitrogen Sources Reveal Potential Biomarkers of Organic Farming";"A García-Casarrubias, R Winkler, A Tiessen";"Plant Foods for Human Nutrition";"74 (2), 247-254";3;2019;"10559597952955933896";"SdhP9T11ey4C"
